,kalori,protein,karbohidrat,lemak
Gaplek,338.0,1.5,81.3,0.7
Gatep segar,191.0,4.5,39.7,1.5
Gatot,347.0,1.3,83.8,0.7
Geblek,195.0,0.4,44.4,1.7
Gelatine,389.0,0.0,91.0,0.0
Gembili,95.0,1.5,22.4,0.1
Gembili ubi segar,131.0,1.1,31.3,0.2
Gemblong,274.0,1.7,55.5,5.4
Gendar goreng,407.0,6.4,32.0,28.2
Genjer segar,35.0,1.7,7.7,0.2
Geplak,350.0,1.4,53.6,14.4
Geplak jahe,462.0,3.1,57.7,24.4
Gete kuah asam masakan,75.0,8.2,6.0,2.0
Getuk goreng,360.0,1.3,74.3,6.4
Getuk Lindri ,171.4,4.0,32.0,4.0
Getuk pisang,144.0,1.1,34.1,0.4
Getuk singkong,204.0,0.5,47.4,1.4
Ginjal Babi,114.0,16.3,0.8,4.6
Ginjal Domba,105.0,16.6,1.0,3.3
Ginjal Sapi,141.0,15.0,0.9,8.1
Gudeg ,53.0,1.6,8.8,1.6
Gudeg sayur,160.0,3.3,16.0,9.2
Gula Aren,368.0,0.0,95.0,0.0
Gula Kelapa,386.0,3.0,76.0,10.0
Gula Merah Tebu belum dimurnikan,356.0,0.4,90.6,0.5
Gula putih,394.0,0.0,94.0,0.0
Gulai asam keueung masakan,52.0,10.0,1.8,0.5
Gulai ikan masakan,106.0,16.5,2.5,3.3
Gulai ikan paya masakan,148.0,10.0,5.0,9.8
Gulai kambing,126.0,4.2,6.2,9.4
Gulai keumamah masakan,110.0,5.9,3.2,8.2
Gulai pakis,143.0,4.0,6.0,11.4
Gulai pliek,176.0,7.3,3.2,14.9
Gulai tiram masakan,132.0,9.0,7.8,7.2
Gurame asem manis masakan,192.0,12.7,12.7,10.1
Gurandil,218.0,0.5,48.5,2.5
Ham,389.0,16.9,0.3,35.0
Hangop,65.0,10.0,3.5,1.0
Hati Babi,134.0,19.7,1.7,4.8
Hati Sapi,136.0,19.7,6.0,3.2
Havermout,390.0,14.2,68.2,7.4
Hofa/Ubi hutan segar,127.0,1.2,29.5,0.5
Ikan asar merah masakan,146.0,17.7,5.6,5.9
Ikan Asin bilis goreng,380.0,33.6,0.0,27.5
Ikan Asin gabus goreng,456.0,46.5,0.0,24.4
Ikan Asin japuh goreng,348.0,18.7,0.0,29.5
Ikan Asin kering,193.0,42.0,0.0,1.5
Ikan Asin pari goreng,430.0,58.2,0.0,23.6
Ikan Asin pepetek goreng,652.0,40.4,0.0,54.3
Ikan Asin sirinding goreng,319.0,6.9,0.0,31.7
Ikan Asin teri goreng,430.0,33.4,0.0,32.4
Ikan Bader (Tawes),198.0,19.0,0.0,13.0
Ikan balong segar,107.0,16.5,1.5,3.9
Ikan bambangan segar,112.0,20.0,3.7,1.3
Ikan Bandeng,129.0,20.0,0.0,4.8
Ikan bandeng presto masakan,296.0,17.1,11.3,20.3
Ikan banjar segar,111.0,19.4,4.8,0.9
Ikan baronang segar,78.0,14.5,3.7,0.6
Ikan baung bakar,144.0,17.8,5.2,5.8
Ikan baung segar,123.0,15.1,3.3,5.5
Ikan Bawal,96.0,19.0,0.0,1.7
Ikan Bekasang,138.0,14.0,7.4,0.7
Ikan Belida bakar,128.0,18.0,7.2,3.0
Ikan Belida segar,80.0,14.7,2.2,1.4
